"name","proportions","similarity"
"SBS5+SBS43","SBS5=0.99;SBS43=0.01","0.763221306706822"
"SBS5+SBS30","SBS5=0.99;SBS30=0.01","0.762996526167196"
"SBS5+SBS7d","SBS5=1;SBS7d=0","0.762971038224732"
"SBS5+SBS14","SBS5=1;SBS14=0","0.762964282816527"
"SBS5+SBS48","SBS5=1;SBS48=0","0.762947405130193"
"SBS5+SBS56","SBS5=1;SBS56=0","0.762936449218332"
"SBS5+SBS10a","SBS5=1;SBS10a=0","0.762935372919389"
"SBS5+SBS12","SBS5=1;SBS12=0","0.762935372919389"
"SBS5+SBS16","SBS5=1;SBS16=0","0.762935372919389"
"SBS5+SBS21","SBS5=1;SBS21=0","0.762935372919389"
"SBS5+SBS26","SBS5=1;SBS26=0","0.762935372919389"
"SBS5+SBS33","SBS5=1;SBS33=0","0.762935372919389"
"SBS5+SBS37","SBS5=1;SBS37=0","0.762935372919389"
"SBS5+SBS46","SBS5=1;SBS46=0","0.762935372919389"
"SBS5+SBS54","SBS5=1;SBS54=0","0.762935372919389"
"SBS5+SBS55","SBS5=1;SBS55=0","0.762935372919389"
"SBS5+SBS58","SBS5=1;SBS58=0","0.762935372919389"
"SBS5+SBS60","SBS5=1;SBS60=0","0.762935372919389"
"SBS5+SBS88","SBS5=1;SBS88=0","0.762935372919389"
"SBS5+SBS92","SBS5=1;SBS92=0","0.762935372919389"
"SBS15+SBS93","SBS15=0.33;SBS93=0.67","0.762160427741891"
"SBS6+SBS94","SBS6=0.35;SBS94=0.65","0.760832590368185"
"SBS6+SBS39","SBS6=0.37;SBS39=0.63","0.760777862665673"
"SBS3+SBS87","SBS3=0.79;SBS87=0.21","0.760520697484358"
"SBS6+SBS37","SBS6=0.45;SBS37=0.55","0.756212058842114"
"SBS6+SBS89","SBS6=0.35;SBS89=0.65","0.755511769973671"
"SBS25+SBS84","SBS25=0.74;SBS84=0.26","0.746595566254943"
"SBS15+SBS89","SBS15=0.3;SBS89=0.7","0.746380359621482"
"SBS6+SBS31","SBS6=0.51;SBS31=0.49","0.743624753894065"
"SBS6+SBS85","SBS6=0.52;SBS85=0.48","0.742126828850904"
"SBS25+SBS40","SBS25=0.4;SBS40=0.6","0.739769489476539"
"SBS6+SBS8","SBS6=0.44;SBS8=0.56","0.739268841161412"
"SBS15+SBS39","SBS15=0.32;SBS39=0.68","0.738244186926587"
"SBS1+SBS25","SBS1=0.16;SBS25=0.84","0.736237379787926"
"SBS1+SBS9","SBS1=0.21;SBS9=0.79","0.735865097780222"
"SBS40+SBS84","SBS40=0.81;SBS84=0.19","0.735482970374251"
"SBS87+SBS92","SBS87=0.28;SBS92=0.72","0.735329398057997"
"SBS23+SBS25","SBS23=0.21;SBS25=0.79","0.734551333660343"
"SBS6+SBS35","SBS6=0.49;SBS35=0.51","0.730593153333883"
"SBS9+SBS92","SBS9=0.43;SBS92=0.57","0.730407628819792"
"SBS6+SBS41","SBS6=0.48;SBS41=0.52","0.729590972999251"
"SBS15+SBS94","SBS15=0.3;SBS94=0.7","0.728060021053588"
"SBS6+SBS12","SBS6=0.54;SBS12=0.46","0.726247019510787"
"SBS3+SBS9","SBS3=0.69;SBS9=0.31","0.726162430569719"
"SBS23+SBS40","SBS23=0.14;SBS40=0.86","0.726003715729052"
"SBS15+SBS31","SBS15=0.46;SBS31=0.54","0.724138794137652"
"SBS3+SBS84","SBS3=0.82;SBS84=0.18","0.72400451999262"
"SBS15+SBS37","SBS15=0.4;SBS37=0.6","0.7234369528026"
"SBS84+SBS92","SBS84=0.27;SBS92=0.73","0.722981362345809"
"SBS40+SBS92","SBS40=0.64;SBS92=0.36","0.721602107353331"
"SBS25+SBS92","SBS25=0.52;SBS92=0.48","0.721195412438433"
"SBS84+SBS93","SBS84=0.34;SBS93=0.66","0.720570904421564"
"SBS3+SBS92","SBS3=0.63;SBS92=0.37","0.720520495340986"
"SBS11+SBS25","SBS11=0.19;SBS25=0.81","0.718824400182507"
"SBS3+SBS23","SBS3=0.87;SBS23=0.13","0.718093368765207"
"SBS9+SBS25","SBS9=0.39;SBS25=0.61","0.717655538668629"
"SBS9+SBS94","SBS9=0.48;SBS94=0.52","0.717585451932837"
"SBS3+SBS25","SBS3=0.61;SBS25=0.39","0.717129285003607"
"SBS40+SBS44","SBS40=0.82;SBS44=0.18","0.716290846403603"
"SBS40+SBS42","SBS40=0.81;SBS42=0.19","0.71624205014236"
"SBS9+SBS40","SBS9=0.27;SBS40=0.73","0.714362961373009"
"SBS40+SBS93","SBS40=0.74;SBS93=0.26","0.713510045177369"
"SBS6+SBS16","SBS6=0.63;SBS16=0.37","0.713381973348743"
"SBS3+SBS11","SBS3=0.88;SBS11=0.12","0.713261887522258"
"SBS19+SBS25","SBS19=0.18;SBS25=0.82","0.713105355648941"
"SBS23+SBS93","SBS23=0.28;SBS93=0.72","0.713025117409084"
"SBS6+SBS46","SBS6=0.52;SBS46=0.48","0.71277955683703"
"SBS31+SBS40","SBS31=0.16;SBS40=0.84","0.712300567180722"
"SBS3+SBS93","SBS3=0.73;SBS93=0.27","0.712280583268232"
"SBS3+SBS7a","SBS3=0.91;SBS7a=0.09","0.711808038603987"
"SBS25+SBS94","SBS25=0.59;SBS94=0.41","0.71105023439018"
"SBS9+SBS84","SBS9=0.67;SBS84=0.33","0.710883451360076"
"SBS92+SBS94","SBS92=0.57;SBS94=0.43","0.71051149320891"
"SBS25+SBS42","SBS25=0.72;SBS42=0.28","0.709390421827286"
"SBS7b+SBS25","SBS7b=0.17;SBS25=0.83","0.709251052878157"
"SBS1+SBS89","SBS1=0.2;SBS89=0.8","0.708779562102383"
"SBS25+SBS87","SBS25=0.77;SBS87=0.23","0.708755118255078"
"SBS11+SBS40","SBS11=0.1;SBS40=0.9","0.708628366783891"
"SBS40+SBS94","SBS40=0.73;SBS94=0.27","0.708594389697333"
"SBS1+SBS42","SBS1=0.3;SBS42=0.7","0.708419421111138"
"SBS19+SBS40","SBS19=0.1;SBS40=0.9","0.708293175213125"
"SBS6+SBS57","SBS6=0.58;SBS57=0.42","0.70802410750153"
"SBS3+SBS17b","SBS3=0.94;SBS17b=0.06","0.707762367599272"
"SBS42+SBS93","SBS42=0.39;SBS93=0.61","0.707599401307812"
"SBS6+SBS26","SBS6=0.57;SBS26=0.43","0.707460635355297"
"SBS3+SBS7b","SBS3=0.89;SBS7b=0.11","0.7073293822829"
"SBS6+SBS88","SBS6=0.62;SBS88=0.38","0.707126103878892"
"SBS3+SBS19","SBS3=0.89;SBS19=0.11","0.706814725189483"
"SBS3+SBS42","SBS3=0.82;SBS42=0.18","0.706764768611227"
"SBS84+SBS94","SBS84=0.31;SBS94=0.69","0.706349719980489"
"SBS93+SBS94","SBS93=0.47;SBS94=0.53","0.706217057697789"
"SBS3+SBS44","SBS3=0.83;SBS44=0.17","0.706021850678559"
"SBS1+SBS93","SBS1=0.21;SBS93=0.79","0.705532249993926"
"SBS9+SBS23","SBS9=0.73;SBS23=0.27","0.705037442956063"
"SBS6+SBS58","SBS6=0.57;SBS58=0.43","0.704972617080907"
"SBS17b+SBS92","SBS17b=0.1;SBS92=0.9","0.704725730654438"
"SBS7b+SBS40","SBS7b=0.09;SBS40=0.91","0.704563226171042"
"SBS3+SBS40","SBS3=0.46;SBS40=0.54","0.703889956432359"
"SBS9+SBS42","SBS9=0.62;SBS42=0.38","0.703670221667673"
"SBS17b+SBS40","SBS17b=0.05;SBS40=0.95","0.703513515611859"
"SBS39+SBS92","SBS39=0.39;SBS92=0.61","0.703415294044849"
"SBS1+SBS94","SBS1=0.19;SBS94=0.81","0.702950956175169"
"SBS15+SBS85","SBS15=0.48;SBS85=0.52","0.702885355369832"
"SBS3+SBS32","SBS3=0.86;SBS32=0.14","0.702550613290385"
"SBS40+SBS85","SBS40=0.87;SBS85=0.13","0.701996029523983"
"SBS37+SBS40","SBS37=0.16;SBS40=0.84","0.701927655630632"
"SBS3+SBS30","SBS3=0.88;SBS30=0.12","0.701927120829719"
"SBS6+SBS7b","SBS6=0.66;SBS7b=0.34","0.701744680495235"
"SBS25+SBS93","SBS25=0.63;SBS93=0.37","0.701344561192594"
"SBS1+SBS84","SBS1=0.34;SBS84=0.66","0.701105461176712"
"SBS22+SBS40","SBS22=0.09;SBS40=0.91","0.700421378867162"
"SBS25+SBS31","SBS25=0.76;SBS31=0.24","0.700293105013083"
"SBS92+SBS93","SBS92=0.61;SBS93=0.39","0.699972202614607"
"SBS2+SBS3","SBS2=0.05;SBS3=0.95","0.699154282208032"
"SBS32+SBS40","SBS32=0.1;SBS40=0.9","0.699101541133541"
"SBS42+SBS92","SBS42=0.28;SBS92=0.72","0.698768237316792"
"SBS4+SBS6","SBS4=0.47;SBS6=0.53","0.69875853828515"
"SBS26+SBS40","SBS26=0.11;SBS40=0.89","0.698670211640681"
"SBS12+SBS40","SBS12=0.11;SBS40=0.89","0.69791942047878"
"SBS27+SBS40","SBS27=0.06;SBS40=0.94","0.697768753795219"
"SBS3+SBS31","SBS3=0.86;SBS31=0.14","0.697717030844385"
"SBS3+SBS10b","SBS3=0.94;SBS10b=0.06","0.697179385309843"
"SBS3+SBS41","SBS3=0.84;SBS41=0.16","0.696407342838083"
"SBS35+SBS40","SBS35=0.12;SBS40=0.88","0.696268514194996"
"SBS6+SBS47","SBS6=0.63;SBS47=0.37","0.696231990420114"
"SBS9+SBS87","SBS9=0.68;SBS87=0.32","0.696106795892639"
"SBS15+SBS41","SBS15=0.43;SBS41=0.57","0.695974630181542"
"SBS3+SBS85","SBS3=0.87;SBS85=0.13","0.695957372025378"
"SBS15+SBS58","SBS15=0.5;SBS58=0.5","0.69593674021818"
"SBS40+SBS41","SBS40=0.88;SBS41=0.12","0.695520338595287"
"SBS40+SBS46","SBS40=0.9;SBS46=0.1","0.695252163628813"
