"sample","GC","SBS1","SBS3","SBS5","SBS6","SBS84","SBS9"
"CLL_01",0,0.0417689383110871,0.247583702842884,0.56635552934465,0,0.0922021436270536,0.0520896858743256
"CLL_02",0,0,0.129507327336245,0.684342736494448,0.166376156909663,0.0197737792596448,0
"CLL_03",0,0.0384158194354243,0.254900419308274,0.566850824750131,0.120416171658007,0,0.0194167648481639
"CLL_04",0,0.101568262105232,0.42122348723466,0.372894804198573,0,0.104313446461535,0
"CLL_05",0,0.0550748944265286,0.22520477690508,0.639224139142603,0.060711342149788,0,0.0197848473759997
"CLL_06",0,0.0837449695308036,0.327764051782548,0.569389501168078,0,0,0.0191014775185711
"CLL_07",0.0537194399726485,0.108290209379346,0.281199304045856,0.522593442614125,0.0341976039880241,0,0
"CLL_08",0.0894097842782211,0.0887014642425578,0.214619691033867,0.607269060445354,0,0,0
"CLL_09",0,0.0867555590364691,0.262454816844174,0.551417064680287,0.0264164197721292,0,0.0729561396669407
"CLL_10",0,0.100502693369292,0.0421227724739576,0.774960511586742,0.0824140225700092,0,0
"CLL_11",0,0.0635444610646765,0.19980795209585,0.585812100424115,0.0426240646292444,0,0.108211421786115
"CLL_12",0,0.125722214769394,0.191773162343408,0.570143826506584,0,0.0731251115159518,0.0392356848646617
"CLL_13",0.231149322646313,0.0403238573113864,0.161871855710281,0.468293225426801,0.0983617389052189,0,0
"CLL_14",0,0.0881799949550673,0.301667116799016,0.511330128106104,0,0.0666646376453068,0.0321581224945066
"CLL_15",0.16004251093045,0.0196249995719271,0.137601845280767,0.62110820253733,0.0616224416795265,0,0
"CLL_16",0.126979848557585,0.0588842874556575,0,0.766434890080203,0,0.0189922631850677,0.0287087107214875
"CLL_17",0,0.0300072867057891,0.193060721273459,0.768390805944203,0.0085411860765488,0,0
"CLL_18",0.0874476575396541,0,0,0.883128044166614,0,0,0.0294242982937324
"CLL_19",0.0592291207078386,0.0676550224009975,0.103836279338151,0.649891035151316,0.0245844577794781,0.0118689279966486,0.0829351566255708
"CLL_20",0,0.0257150549096213,0.134387705146672,0.704970656277653,0.134926583666054,0,0
"CLL_21",0,0.102595113816112,0.184618883547598,0.71278600263629,0,0,0
"CLL_22",0,0.104369306482611,0,0.725974156262179,0,0.0751749631803034,0.0944815740749061
"CLL_23",0,0,0.385479542599939,0.569288435656505,0.0452320217435564,0,0
"CLL_24",0.0564579748737916,0.0341356905282483,0.238278810762246,0.512725251207631,0.129855983942871,0.00770286370658913,0.020843424978623
"CLL_277",0,0,0.269056259664273,0.593134570040589,0.0612931101612869,0.0262948617941447,0.0502211983397059
"CLL_86",0.237516091453673,0.00670105443559641,0,0.658147686223764,0.0976351678869671,0,0
"CLL_93",0,0.0233102065949402,0.447882086751899,0.37722962624998,0,0,0.151578080403181
"FL_01_1",0.264090682858159,0.0165755077847049,0.269322467543497,0.388897780577164,0.0133440875121826,0.0477694737242929,0
"FL_01_2",0.206840108646298,0.0340931845535113,0.223549744900643,0.516962882184673,0.0110395836666163,0,0.00751449604825904
"FL_01_3",0.151879060072628,0.0563306218748616,0.290848471039737,0.398202187301277,0.077885712682967,0.0248539470285302,0
"FL_01_4",0.235377897669665,0.0388169688963895,0.277476322060315,0.37552840363197,0.0609102059165117,0.0118902018251486,0
"FL_0144_BM",0,0,0.366687020910433,0.326848250317644,0.155853908452932,0,0.15061082031899
"FL_0144_LN",0.0860629803872696,0.017563866909858,0.399054165847493,0.254287643838515,0.147290393092485,0,0.0957409499243793
"FL_02_1",0.261722245290842,0.0484141237222452,0.253387224552755,0.269941182516863,0.115320951486536,0.0512142724307591,0
"FL_02_2",0.429935738464764,0.0659694926815334,0.284135012172742,0.219959756680961,0,0,0
"FL_02_3",0.445493822876733,0.0406978666751945,0.116356970056559,0.332124928304077,0.0132786142186256,0,0.0520477978688109
"FL_02_4",0.441423481343794,0.00834045521951072,0.326390347059113,0.144290114535771,0.0422428391496671,0.0177721739228155,0.0195405887693294
"FL_02_5",0.503101821953859,0.0402069979060378,0.110263941520886,0.313535892345058,0,0.0328913462741592,0
"FL_02_6",0.413377624493589,0.0222528044060898,0.257650451672694,0.176623155065497,0.0411128896665743,0.0227773722770667,0.0662057024184897
"FL_02_7",0.316071033179501,0.0901615369912111,0.138356617403034,0.275982269956859,0,0.0415168929618236,0.137911649507572
"FL_02_8",0.419775650349178,0.0492376682810793,0.261949967736819,0.173537751469575,0,0.0271869886815518,0.0683119734817974
"FL_02_9",0.348032470339244,0.054744189730302,0.144411238708568,0.338834435363055,0.0076871723824471,0.0161546930821729,0.0901358003942108
"FL_03_1",0.148736691257432,0.124344359871153,0.160549857860694,0.461144187126811,0.0253368398748398,0.0798880640090704,0
"FL_03_2",0.247484449811093,0.0922254013075918,0.0331048413143534,0.584081559142724,0,0.0431037484242378,0
"FL_03_3",0.445493822876733,0.0406978666751945,0.116356970056559,0.332124928304077,0.0132786142186256,0,0.0520477978688109
"FL_04_1",0,0.0720200072289041,0.310188723814703,0.528031208534503,0.0261873607001386,0.0141159593105867,0.0494567404111639
"FL_04_2",0.0622258054428218,0.0674380512284287,0.131334618659113,0.673050699898573,0,0.0575347542735093,0.00841607049755414
"FL_04_3",0.135284297876541,0.0692251930475379,0.125251885684968,0.456912666310826,0,0.0971061689934716,0.116219788086656
"FL_04_4",0.0450879185575187,0.0656508586586344,0.146470144577392,0.591370862943751,0,0.101915988706825,0.0495042265558795
"FL_05_1",0,0.129309068998486,0.179816679886843,0.409795248998287,0,0.0260628507562017,0.255016151360182
"FL_05_2",0.0182020494846216,0.118953706192717,0.116916134264506,0.508437645463589,0.0213513900615416,0.0595061437991479,0.156632930733876
"FL_05_3",0,0.0944426754661877,0.26539057066664,0.442821508917017,0,0.0511312749682205,0.146213969981935
"FL_05_4",0,0.0910442193039144,0.215997252385579,0.464322324295962,0.00408240995763477,0.0168048245979971,0.207748969458913
"FL_10000_LN",0,0.106239175146365,0.15820822520424,0.564379468272996,0.0777483608041636,0,0.0934247705722344
"FL_10971_LN",0.0365301455698627,0.103543959058639,0.098226764890259,0.516692699607799,0,0.0936210712352179,0.151385359638223
"FL_11770_LN",0.217844843527951,0.00692519442235067,0.160162877633854,0.532192939322191,0.0591041086030407,0,0.0237700364906136
"FL_12118_LN",0.0949535235230061,0.0958546871493843,0.116358549049424,0.557591360131992,0.0482079484088656,0.0483788715751708,0.0386550601621565
"FL_12282_LN",0.231536642004246,0.0394575443150138,0.164184898974538,0.45908717721046,0.0433388564401866,0.0623948810555554,0
"FL_8934_LN",0.255037255025685,0,0.148002906700392,0.374034047300981,0.145684189489387,0.0650702073648027,0.0121713941187521
"FL_8934_PBL",0.0602539702721295,0.00491943573669624,0.295989167018484,0.42505911138095,0.133779194139743,0.079999121451998,0
"MBL_59",0.0363289178120612,0.081026317189982,0.233610003775206,0.437618081729459,0.0593369641430971,0.0281468241498084,0.123932891200386
"MBL_86",0.0977438157583151,0.0852974336701344,0.0616022181466872,0.738871183153293,0,0.0164853492715703,0
"MBL_93",0.287897431994954,0,0,0.63154642007569,0.0271727497544561,0.0533833981748998,0
